id,comment,company_id,car_id,user_id,created_at,updated_at,km,performed,status,payment_method_id,company_info,budget_id,deliver,deliver_actual
12462,,12,8997,4,2013-01-29 10:29:06 -0300,2013-03-28 17:33:21 -0300,260000,2013-01-29,4,1,"",,2013-03-28 13:00:00 -0300,
12467,,12,9001,4,2013-01-29 10:53:23 -0300,2013-02-01 17:43:32 -0300,90000,2013-01-29,4,1,"",,,
12469,,12,9003,1200,2013-01-29 11:03:17 -0300,2013-01-30 09:39:50 -0300,64000,2013-01-29,4,1,"",,,
12471,,12,9004,1200,2013-01-29 11:40:26 -0300,2013-01-30 09:39:02 -0300,45000,2013-01-29,4,1,"",,,
12472,,12,9005,1199,2013-01-29 11:46:01 -0300,2013-01-30 09:37:46 -0300,55000,2013-01-29,4,1,"",,,
12475,,12,3582,1199,2013-01-29 12:26:19 -0300,2013-02-06 19:48:36 -0300,193716,2013-01-29,4,1,"",3832,,
12482,,12,1760,4,2013-01-29 16:52:30 -0300,2013-02-01 17:56:20 -0300,76398,2013-01-29,4,1,"",,,
12491,,12,1330,1199,2013-01-29 18:35:34 -0300,2013-03-28 17:32:23 -0300,65000,2013-01-29,4,2,"",,2013-03-28 14:00:00 -0300,
12505,,12,9027,1199,2013-01-30 08:30:57 -0300,2013-02-05 18:15:10 -0300,145000,2013-01-30,4,1,"",3843,,
12508,,12,9028,1199,2013-01-30 08:57:22 -0300,2013-01-30 09:15:32 -0300,500000,2013-01-30,4,1,"",,,
12510,,12,9029,1199,2013-01-30 09:11:08 -0300,2013-02-01 17:33:24 -0300,31500,2013-01-30,4,3,"",3847,,
12511,,12,8977,1199,2013-01-30 09:19:25 -0300,2013-01-30 12:30:56 -0300,270500,2013-01-30,4,1,"",,,
12521,,12,9037,1200,2013-01-30 10:55:18 -0300,2013-02-01 17:33:48 -0300,260000,2013-01-30,4,1,"",,,
12525,,12,1307,1199,2013-01-30 11:13:34 -0300,2013-02-01 17:35:07 -0300,245000,2013-01-30,4,1,"",,,
12528,,12,9042,1199,2013-01-30 11:45:07 -0300,2013-02-01 17:35:35 -0300,84000,2013-01-30,4,3,"",3629,,
12539,,12,3852,1199,2013-01-30 16:55:44 -0300,2013-02-01 17:36:46 -0300,162000,2013-01-30,4,1,"",,,
12542,,12,9051,1199,2013-01-30 17:47:10 -0300,2013-02-01 17:38:01 -0300,15000,2013-01-30,4,1,"",,,
12545,,12,9053,1200,2013-01-30 18:17:07 -0300,2013-02-01 17:29:56 -0300,104000,2013-01-30,4,1,"",,,
12547,,12,9055,1199,2013-01-30 18:23:43 -0300,2013-02-05 18:14:43 -0300,1,2013-01-30,4,1,"",,,
12548,,12,9056,1199,2013-01-30 18:55:00 -0300,2013-02-01 17:39:26 -0300,160000,2013-01-30,4,1,"",,,
12556,,12,4017,4,2013-02-01 08:18:50 -0300,2013-02-05 18:08:13 -0300,54000,2013-02-01,4,1,"",,,
